Time,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_External
2855483.0,-121.49995422363281,-123.49274444580078,15.581754684448242,123.4728012084961,79.36071014404297,-16.14250946044922,43.45256423950195
2855487.0,-121.59281921386719,-123.49747467041016,15.531432151794434,123.56124114990234,79.30200958251953,-16.181499481201172,43.49061965942383
2855491.0,-121.68585968017578,-123.50209045410156,15.480635643005371,123.64958190917969,79.24325561523438,-16.220355987548828,43.52845764160156
2855495.0,-121.77906036376953,-123.50658416748047,15.429367065429688,123.73783874511719,79.18445587158203,-16.259075164794922,43.56607437133789
2855499.0,-121.8724365234375,-123.51095581054688,15.377622604370117,123.82598876953125,79.12559509277344,-16.297658920288086,43.603477478027344
2855503.0,-121.96598052978516,-123.51522827148438,15.325403213500977,123.91404724121094,79.06668090820312,-16.336103439331055,43.64065933227539
2855507.0,-122.05970001220703,-123.51935577392578,15.272710800170898,124.00200653076172,79.00770568847656,-16.37441635131836,43.67762756347656
2855511.0,-122.1535873413086,-123.52338409423828,15.219545364379883,124.0898666381836,78.94869232177734,-16.41259002685547,43.71437454223633
2855515.0,-122.24764251708984,-123.52729034423828,15.165905952453613,124.1776351928711,78.88961791992188,-16.45063018798828,43.75090789794922
2855519.0,-122.34184265136719,-123.53107452392578,15.111793518066406,124.26529693603516,78.83048248291016,-16.48853302001953,43.7872200012207
2855523.0,-122.43624114990234,-123.53473663330078,15.057207107543945,124.35284423828125,78.77129364013672,-16.52629852294922,43.82331466674805
2855527.0,-122.53079223632812,-123.53829193115234,15.00214672088623,124.4403076171875,78.71204376220703,-16.563928604125977,43.859188079833984
2855531.0,-122.62551879882812,-123.54171752929688,14.946614265441895,124.52767181396484,78.65274047851562,-16.601421356201172,43.89484405517578
2855535.0,-122.72039794921875,-123.5450210571289,14.890607833862305,124.61491394042969,78.5933837890625,-16.638778686523438,43.93028259277344
2855539.0,-122.81546020507812,-123.5482177734375,14.834131240844727,124.70207214355469,78.53395080566406,-16.67599868774414,43.96549606323242
2855543.0,-122.91067504882812,-123.5512924194336,14.777179718017578,124.78910064697266,78.47447204589844,-16.71308135986328,44.00048828125
2855547.0,-123.00609588623047,-123.55426025390625,14.719754219055176,124.87605285644531,78.41492462158203,-16.750028610229492,44.0352668762207
2855551.0,-123.10167694091797,-123.55708312988281,14.661856651306152,124.96287536621094,78.35531616210938,-16.786836624145508,44.069820404052734
2855555.0,-123.1974105834961,-123.5597915649414,14.603486061096191,125.04959106445312,78.29564666748047,-16.82350730895996,44.104148864746094
2855559.0,-123.29330444335938,-123.56238555908203,14.54464340209961,125.13621520996094,78.23591613769531,-16.860042572021484,44.13825988769531
2855563.0,-123.38936614990234,-123.56487274169922,14.485326766967773,125.22270965576172,78.1761245727539,-16.896438598632812,44.17214584350586
2855567.0,-123.48558807373047,-123.56722259521484,14.425539016723633,125.30909729003906,78.11627197265625,-16.932697296142578,44.205814361572266
2855571.0,-123.58198547363281,-123.5694580078125,14.365278244018555,125.39537811279297,78.05635070800781,-16.96881866455078,44.239253997802734
2855575.0,-123.67854309082031,-123.57156372070312,14.304543495178223,125.48155975341797,77.9963607788086,-17.00480079650879,44.2724723815918
2855579.0,-123.7752685546875,-123.57356262207031,14.243334770202637,125.5676040649414,77.93631744384766,-17.040645599365234,44.30546569824219
2855583.0,-123.87214660644531,-123.57544708251953,14.181654930114746,125.65355682373047,77.87619018554688,-17.076351165771484,44.33823776245117
2855587.0,-123.9692153930664,-123.57720947265625,14.119501113891602,125.73938751220703,77.81600952148438,-17.111919403076172,44.370784759521484
2855591.0,-124.06643676757812,-123.5788345336914,14.05687427520752,125.82508850097656,77.75575256347656,-17.147348403930664,44.40310287475586
2855595.0,-124.16382598876953,-123.5803451538086,13.993773460388184,125.91069030761719,77.6954345703125,-17.18263816833496,44.43519973754883
2855599.0,-124.26139068603516,-123.58174133300781,13.93019962310791,125.99616241455078,77.63504028320312,-17.217790603637695,44.46706771850586
2855603.0,-124.35910034179688,-123.58301544189453,13.866151809692383,126.08151245117188,77.5745849609375,-17.2528018951416,44.49871063232422
2855607.0,-124.45700073242188,-123.58396911621094,13.801342010498047,126.16681671142578,77.51399230957031,-17.287677764892578,44.529022216796875
